Groupe,Type,Unité,Famille de substances,Aluminium,Antimoine,Argent,Arsenic,Baryum,Cadmium,Calcium,Chromium,Cobalt,Cuivre,Etain,Fer,Gallium,Germanium,Lithium,Magnésium,Manganese,Mercure,Molybdène,Nickel,Plomb,Potassium,Selenium,Sodium,Strontium,Tellure,Vanadium,Zinc
Fromages,R,µg/g,Contaminants inorg et minéraux,1.419875,0.000375,0.05349375,0.01623125,0.105575,0.00118925,1245.3125,0.1854375,0.0045675,0.1465,0.008243125,0.624625,0.0,0.000800625,0.004255625,119.76875,0.182875,0.0,0.0552625,0.0729375,0.004133125,1458.75,0.0,395.875,0.44325,0.000499375,0.02075,4.125
Fruits,N,µg/g,Contaminants inorg et minéraux,0.833,0.0009,0.0756,0.00968,0.6777,0.0007627,204.93,0.06645,0.003227,0.6148,0.00683099999999999,1.325,0.0,0.001374,0.003353,171.0,0.9778,0.0,0.07073,0.04965,0.005321,2197.0,0.0,12.37,1.4326,0.0006,0.01439,0.8462
Fruits,R,µg/g,Contaminants inorg et minéraux,1.14984791666666,0.00078375,0.0730282291666666,0.0145290625,0.15287453125,0.0031340765625,105.9803125,0.115083541666666,0.00578208333333333,0.658118229166666,0.006295015625,1.47138645833333,3.22916666666666e-05,0.00259830729166666,0.0137226927083333,111.098541666666,0.812527083333333,0.000161458333333333,0.03608578125,0.16295984375,0.00500407291666666,2002.56510416666,0.00078125,21.4429166666666,0.386059635416666,0.000614375,0.0298297916666666,0.94635625
Fruits secs et graines oléagineuses,N,µg/g,Contaminants inorg et minéraux,4.665,0.0004865,0.0232,0.021725,1.72725,0.01693,534.75,0.273499999999999,0.0299,6.635,0.0208749999999999,14.6675,0.0,0.0020325,0.017115,1069.25,11.865,0.0,0.548449999999999,1.01925,0.018175,7355.0,0.0,2148.25,3.2775,0.0005,0.037825,18.3774999999999
Glaces et desserts glacés,N,µg/g,Contaminants inorg et minéraux,4.895,0.002045,0.1715,0.02885,0.621,0.007545,839.0,0.3645,0.03565,1.68,0.007125,45.4499999999999,0.0,0.0015,0.01163,393.0,1.88,0.0,0.09025,0.353,0.009235,2920.0,0.0,669.0,1.1145,0.001,0.0279,4.55
Huile,N,µg/g,Contaminants inorg et minéraux,0.782799999999999,0.0004,0.0336,0.01293,0.110699999999999,0.000535,22.1399999999999,1.2019,0.001378,0.04309,0.014391,0.1635,0.0,0.0015,0.00047,3.04,0.04009,0.0,0.01048,0.04149,0.0034,15.2,0.0,9.78,0.01771,0.00115899999999999,0.008,0.4547
Lait,R,µg/g,Contaminants inorg et minéraux,0.591631944444444,0.000259722222222222,0.0453736111111111,0.01298375,0.115060833333333,0.00124047777777777,1023.89027777777,0.117926527777777,0.00357977777777777,0.0899012499999999,0.0109294027777777,0.389541666666666,0.0,0.00100458333333333,0.00307030555555555,119.754166666666,0.0290877777777777,0.000416666666666666,0.046195,0.0529130555555555,0.00656930555555555,1678.54166666666,0.0,433.443055555555,0.291591666666666,0.00062725,0.0190283333333333,3.72777777777777
Légumes (hors pomme de terre),N,µg/g,Contaminants inorg et minéraux,0.7565,0.00109,0.248,0.01615,0.1805,0.009275,133.5,0.01,0.004435,0.474,0.3225,2.6,0.0,0.0015,0.007765,75.3,0.394,0.0,0.4275,0.1139,0.006495,315.0,0.0,3300.0,0.83,0.001,0.0328,1.062
Légumes (hors pomme de terre),R,µg/g,Contaminants inorg et minéraux,2.60975423611111,0.000693012866161616,0.047053207070707,0.0120891919191919,0.259095236742424,0.0122859578598484,322.578131313131,0.124869070075757,0.00644763851010101,0.666502001262626,0.467315858017676,4.65085912247474,2.24270833333333e-05,0.00101530606060606,0.0200680414772727,192.173245580808,1.38487856691919,0.000177083333333333,0.0619299204545454,0.0953941376262626,0.00886773851010101,2625.94908459596,0.000729166666666666,1095.65191919191,1.59474693181818,0.000456101452020202,0.0241106237373737,2.40584968434343
Légumes secs,R,µg/g,Contaminants inorg et minéraux,4.598125,0.00221375,0.0777968749999999,0.0147249999999999,1.20190625,0.0088371875,407.1875,0.12704375,0.0219375,2.5040625,0.0295296875,15.6705624999999,0.0,0.002325,0.06526875,481.28125,4.6909375,0.0003125,0.9054375,0.383125,0.01345125,2659.375,0.0,1076.1125,2.845625,0.00199968749999999,0.025278125,9.5921875
Margarine,N,µg/g,Contaminants inorg et minéraux,1.62525,0.0019275,0.021,0.019275,0.133175,0.001064,88.75,0.59325,0.008065,0.081175,0.035675,0.89375,0.0005,0.0025875,0.002215,13.915,0.024625,0.0,0.023125,0.0457749999999999,0.011025,310.75,0.0,1665.0,0.136474999999999,0.0015,0.042075,0.6085
Oeufs et dérivés,R,µg/g,Contaminants inorg et minéraux,0.816022321428571,0.000232142857142857,0.0569330357142857,0.0148379464285714,0.341959821428571,0.00108988392857142,489.53125,0.220266517857142,0.00581647321428571,0.730401785714285,0.0199854464285714,18.0977232142857,0.0,0.00189165178571428,0.0116272321428571,161.392857142857,0.361830357142857,0.000357142857142857,0.0799624999999999,0.076784375,0.00500357142857142,1726.4375,0.0455312499999999,1861.05357142857,0.51771875,0.000746785714285714,0.0285638392857142,13.3142857142857
Pain et panification sèche,N,µg/g,Contaminants inorg et minéraux,2.59857142857142,0.000968571428571428,0.0,0.0249642857142857,0.910714285714285,0.0193242857142857,476.857142857142,0.222064285714285,0.0115257142857142,1.33728571428571,0.0131257142857142,13.7614285714285,0.0,0.0015,0.00864142857142857,405.571428571428,7.19142857142857,0.0,0.165785714285714,0.1028,0.0175271428571428,2389.28571428571,0.0142857142857142,6696.42857142857,0.920714285714285,0.00101214285714285,0.0730214285714285,7.24
"Pizzas, quiches et pâtisseries salées",N,µg/g,Contaminants inorg et minéraux,3.40275,0.001405,0.042,0.0348749999999999,0.40375,0.0101,1187.5,0.295,0.00648499999999999,0.6885,0.0511849999999999,7.5075,0.0,0.00225,0.010225,237.0,1.61675,0.0,0.093425,0.09945,0.0071575,2310.0,0.0,6347.5,0.93575,0.0,0.054075,9.36
