Famille de substances,Groupe,Aliment,Type,Unité,Nom Substance,Substance,LB,UB,MB
Contaminants inorg et minéraux,Autres boissons chaudes,thé ou tisane,R,µg/g,Mercure,Hg,0.0006666666666666666,0.005333333333333333,0.0026666666666666666
Contaminants inorg et minéraux,Autres boissons chaudes,thé ou tisane,R,µg/g,Potassium,K,100.97333333333333,100.97333333333333,100.97333333333333
Contaminants inorg et minéraux,Autres boissons chaudes,thé ou tisane,R,µg/g,Lithium,Li,0.05672,0.05672,0.05672
Contaminants inorg et minéraux,Autres boissons chaudes,thé ou tisane,R,µg/g,Magnésium,Mg,26.513333333333332,26.513333333333332,26.513333333333332
Contaminants inorg et minéraux,Autres boissons chaudes,thé ou tisane,R,µg/g,Manganese,Mn,1.0321333333333333,1.0321333333333333,1.0321333333333333
Contaminants inorg et minéraux,Autres boissons chaudes,thé ou tisane,R,µg/g,Molybdène,Mo,0.00622,0.009153333333333335,0.00622
Contaminants inorg et minéraux,Autres boissons chaudes,thé ou tisane,R,µg/g,Sodium,Na,25.18,25.18,25.18
Contaminants inorg et minéraux,Autres boissons chaudes,thé ou tisane,R,µg/g,Nickel,Ni,0.04838666666666667,0.051919999999999994,0.03072
Contaminants inorg et minéraux,Autres boissons chaudes,thé ou tisane,R,µg/g,Plomb,Pb,0.003663333333333333,0.0046633333333333336,0.003163333333333333
Contaminants inorg et minéraux,Autres boissons chaudes,thé ou tisane,R,µg/g,Antimoine,Sb,0.0020053333333333334,0.0020053333333333334,0.0020053333333333334
Contaminants inorg et minéraux,Autres boissons chaudes,thé ou tisane,R,µg/g,Selenium,Se,0.0,0.05,0.025
Contaminants inorg et minéraux,Autres boissons chaudes,thé ou tisane,R,µg/g,Etain,Sn,0.003038,0.003738,0.002888
Contaminants inorg et minéraux,Autres boissons chaudes,thé ou tisane,R,µg/g,Strontium,Sr,0.29686666666666667,0.29686666666666667,0.29686666666666667
Contaminants inorg et minéraux,Autres boissons chaudes,thé ou tisane,R,µg/g,Tellure,Te,0.00013333333333333334,0.0010666666666666667,0.0005333333333333334
Contaminants inorg et minéraux,Autres boissons chaudes,thé ou tisane,R,µg/g,Vanadium,V,0.012580000000000001,0.017246666666666667,0.012913333333333332
Contaminants inorg et minéraux,Autres boissons chaudes,thé ou tisane,R,µg/g,Zinc,Zn,0.21366666666666667,0.217,0.1953333333333333
Contaminants inorg et minéraux,Beurre,beurre,N,µg/g,Argent,Ag,0.042,0.063,0.0315
Contaminants inorg et minéraux,Beurre,beurre,N,µg/g,Aluminium,Al,0.479,0.597,0.538
Contaminants inorg et minéraux,Beurre,beurre,N,µg/g,Arsenic,As,0.014450000000000001,0.014450000000000001,0.01195
Contaminants inorg et minéraux,Beurre,beurre,N,µg/g,Baryum,Ba,0.1254,0.1254,0.1254
Contaminants inorg et minéraux,Beurre,beurre,N,µg/g,Calcium,Ca,177.5,177.5,177.5
Contaminants inorg et minéraux,Beurre,beurre,N,µg/g,Cadmium,Cd,0.00051,0.00076,0.000635
